brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
A.J. Fernandez,AJ Fernandez New World Cameroon Torpedo (6.5 x 52 / Box of 20) + Free Shipping!,20,79.98,156.0,48.7,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/aj-fernandez-new-world-cameroon-torpedo-6-5-x-52-box-of-20-free-shipping/,new
A.J. Fernandez,AJ Fernandez New World Dorado Toro (6×54 / Box of 10) + Free Shipping!,10,69.98,132.0,47.0,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/aj-fernandez-new-world-dorado-gordito-6x54-box-of-10/,new
A.J. Fernandez,AJ Fernandez New World Connecticut Belicoso (6×54 / Box of 20),20,94.98,200.0,52.5,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/a-j-fernandez-new-world-connecticut-belicoso-6x54-box-of-20-free-lighter-and-shipping/,new
A.J. Fernandez,AJ Fernandez New World Cameroon Churchill (7×48 / Box of 20) + Free Shipping!,20,84.98,156.0,45.5,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/aj-fernandez-new-world-cameroon-churchill-7x48-box-of-20/,new
A.J. Fernandez,AJ Fernandez New World Puro Especial Robusto (5.5×52 / Box of 20) + Free Shipping!,20,89.98,182.0,50.6,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/new-a-j-fernandez-new-world-puro-especial-robusto-20/,new
A.J. Fernandez,New World By AJ Fernandez Maduro Robusto (5.5×55 / Box of 21),21,94.5,189.0,50.0,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/new-world-by-aj-fernandez-maduro-robusto-21/,new
A.J. Fernandez,AJ Fernandez New World Cameroon Double Robusto (5.5×54 / Box of 20) + Free Shipping!,20,84.98,150.0,43.3,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/aj-fernandez-new-world-cameroon-double-robusto-deal-20-best-price/,new
Montecristo White,Montecristo White Series Churchill (7×54 / Box of 10) + Free Shipping!,10,95.98,176.0,45.5,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/montecristo/montecristo-white/montecristo-white-series-churchill-7x54-pack-of-10-free-shipping/,new
