brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
A.J. Fernandez,AJ Fernandez San Lotano Bull Robusto (5×54 / Box of 20),20,79.98,190.0,57.9,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-bull-robusto-5x54-box-of-20/,new
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Gran Toro (6×60 / Box of 20),20,98.98,210.0,52.9,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-requiem-maduro-gran-toro-6x60-box-of-20/,new
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Toro (6×52 / Box of 20),20,89.98,190.0,52.6,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-requiem-maduro-toro-6x52-box-of-20/,new
A.J. Fernandez,AJ Fernandez New World Dorado Gordito (5.5 x 60 / Box of 10) + Free Shipping!,10,59.98,140.0,57.2,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/aj-fernandez-new-world-dorado-gordito-5-5-x-60-box-of-10-free-shipping/,new
A.J. Fernandez New World Cameroon,AJ Fernandez New World Cameroon Torpedo (6.5 x 52 / Box of 20) + Free Shipping!,20,79.98,156.0,48.7,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-torpedo-6-5-x-52-box-of-20-free-shipping/,new
Cain by Oliva,Cain 550 Habano (5.75×50 / Box of 24),24,91.98,200.0,54.0,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/cain-550-robusto-habano/,new
Cain by Oliva,Cain 550 Maduro (5.75×50 / Box of 24),24,98.98,208.0,52.4,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/cain-550-robusto-maduro/,new
Cain Daytona by Oliva,Cain Daytona 550 Robusto (5×50 / Box of 24),24,94.98,200.0,52.5,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/cain-daytona-550-robusto/,new
Cain Daytona by Oliva,Cain Daytona 646 Corona (6×46 / Box of 24),24,90.98,191.0,52.4,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/cain-daytona-646-corona/,new
Oliva,Oliva Serie V Maduro Especial Torpedo (6 x 54 / Box of 10),10,85.98,161.96,46.9,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-maduro-especial-torpedo-6-x-54-box-of-10/,new
Cosecha 149,Plasencia Cosecha 151 La Musica (5 x 50/ Box of 10) + Free Shipping!,10,87.0,145.2,40.1,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-cosecha-151-la-musica-5-x-50-box-of-10/,new
Cosecha 149,Plasencia Reserva Original Toro (6 x 50/ Box of 10) + Free Shipping!,10,75.0,125.0,40.0,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original-6-x-50-box-of-10/,new
Oliva,Oliva Serie V Melanio Robusto Natural (5×52 / Box of 10),10,88.98,172.96,48.6,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-robusto-natural-5x52-pack-of-10-free-shipping/,new
Oliva,Oliva Serie V Melanio Robusto Maduro (5×52 / Box of 10),10,88.98,172.96,48.6,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-robusto-maduro-5x52-pack-of-10-free-shipping/,new
Plasencia,Plasencia Reserva Original Robusto (4.75 x 52/Box of 10) + Free Shipping,10,65.4,109.0,40.0,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original/plasencia-reserva-original-robusto-4-75-x-52-10/,new
Oliva,Oliva Serie V Maduro Especial Double Robusto (5×54 / Box of 10) + Free Shipping!,10,76.98,143.72,46.4,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-maduro-especial-double-robusto/,new
Oliva,Oliva Serie V Maduro Especial Double Toro (6×60 / Box of 10),10,87.98,155.0,43.2,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-maduro-especial-double-toro/,new
Oliva,Oliva Serie V Melanio Maduro No.4 (4.5×46 / Box of 10) + Free Shipping,10,74.98,149.96,50.0,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-maduro-4-10/,new
Oliva,Oliva Serie V Melanio Robusto Maduro (5×52 / Box of 10),10,88.98,177.96,50.0,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-robusto-maduro/,new
Oliva,Oliva Serie V Melanio Robusto (5×52 / Box of 10) + Free Shipping!,10,88.98,177.96,50.0,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-maduro-robusto/,new
Oliva,Oliva Serie V Melanio No. 4 (4.5×46 / Box of 10) + Free Shipping!,10,74.98,149.96,50.0,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-gran-reserva-4/,new
Nub by Oliva,Nub Habano 460 Tubo (4×60 / Box of 12),12,83.03,166.98,50.3,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/nub-cameroon-460-tubo-box-of-12-3/,new
Oliva,Oliva Serie O Churchill (7×50 / Box of 20),20,87.93,218.0,59.7,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-o-churchill/,new
