brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
CAO,The Bubba Nub Sampler (Mixed Sizes / Pack of 20),20,99.98,201.16,50.3,In stock,2026-08-13,https://www.hilandscigars.com/shop/cigars/cao/the-bubba-nub-sampler-mixed-sizes-pack-of-20/,new
Drew Estate,Drew Estate Traditional Sampler ( Mixed Sizes / Bundle of 20),20,99.98,210.1,52.4,In stock,2026-08-13,https://www.hilandscigars.com/shop/cigars/drew-estate-traditional-sampler-6x50-54-mixed-bundle-of-20/,new
Nub by Oliva,Nub Habano 460 Tubo (4×60 / Box of 12),12,83.03,166.98,50.3,In stock,2026-08-13,https://www.hilandscigars.com/shop/cigars/oliva/nub-by-oliva/nub-cameroon-460-tubo-box-of-12-3/,50% -> 50.3%
Nub by Oliva,Nub Cameroon 460 Tubo (4×60 / Box of 12) + Free Shipping!,12,75.8,151.0,49.8,In stock,2026-08-13,https://www.hilandscigars.com/shop/cigars/oliva/nub-cameroon-460-tubo-12/,50.4% -> 49.8%
Punch Clasico,Punch London Club EMS (5×40 / Box of 25),25,89.98,160.0,43.8,In stock,2026-08-13,https://www.hilandscigars.com/shop/cigars/punch/punch-clasico/punch-london-club-ems/,new
