brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Gran Toro (6×60 / Box of 20),20,98.98,210.0,52.9,In stock,2026-07-25,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-san-lotano-requiem-maduro-gran-toro-6x60-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Toro (6×52 / Box of 20),20,89.98,190.0,52.6,In stock,2026-08-17,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-san-lotano-requiem-maduro-toro-6x52-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Connecticut Robusto (5×52 / Box of 20),20,84.98,180.0,52.8,In stock,2026-08-17,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-requiem-connecticut-robusto-5x52-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Robusto (5×52 / Box of 20),20,84.98,180.0,52.8,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-maduro-robusto-5x52-box-of-20/
A.J. Fernandez,AJ Fernandez Summer Camp Sampler (Mixed Sizes / Pack of 20),20,79.98,200.0,60.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/aj-fernandez-summer-camp-sampler-mixed-sizes-pack-of-20/
AJ Fernandez New World Dorado,AJ Fernandez New World Dorado Gordito (5.5 x 60 / Box of 10) + Free Shipping!,10,59.98,140.0,57.2,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-new-world-dorado/aj-fernandez-new-world-dorado-gordito-5-5-x-60-box-of-10-free-shipping/
AJ Fernandez New World Dorado,AJ Fernandez New World Dorado Toro (6×54 / Box of 10) + Free Shipping!,10,69.98,132.0,47.0,In stock,2026-07-25,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-new-world-dorado/aj-fernandez-new-world-dorado-gordito-6x54-box-of-10/
A.J. Fernandez New World Connecticut,AJ Fernandez New World Connecticut Belicoso (6×54 / Box of 20),20,94.98,200.0,52.5,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-connecticut/a-j-fernandez-new-world-connecticut-belicoso-6x54-box-of-20-free-lighter-and-shipping/
A.J. Fernandez New World Cameroon,AJ Fernandez New World Cameroon Churchill (7×48 / Box of 20) + Free Shipping!,20,84.98,156.0,45.5,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-churchill-7x48-box-of-20/
A.J. Fernandez New World,New World By AJ Fernandez Maduro Robusto (5.5×55 / Box of 21),21,94.5,189.0,50.0,In stock,2026-07-25,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world/new-world-by-aj-fernandez-maduro-robusto-21/
