brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
A.J. Fernandez,A.J. Fernandez San Lotano Robusto Connecticut Blitz Pack (5×52 / Pack of 10),10,45.98,90.0,48.9,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-requiem-connecticut-robusto-5x52-pack-of-10/,new
A.J. Fernandez,A.J. Fernandez San Lotano Robusto Maduro Blitz Pack (5 x 52 / Pack of 10),10,45.98,90.0,48.9,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/san-lotano-maduro-robusto-5x52-pack-of-10/,new
Blackened,Drew Estate Blackened Cigars M81 Toro Blitz Pack (6×52 / Pack of 10),10,49.98,112.5,55.6,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/drew-estate/drew-estate-blackened-cigars-m81-toro-blitz-pack-6x52-pack-of-10/,new
Blackened,Drew Estate Blackened S84 Toro Blitz Pack (6×52 / Pack of 10),10,49.98,112.5,55.6,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/drew-estate-blackened-s84-toro-blitz-pack-6x52-pack-of-10/,new
Romeo y Julieta,Romeo Y Julieta 1875 Toro Blitz Pack (6×50 / Pack of 10),10,39.98,106.4,62.4,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/romeo-y-julieta/romeo-y-julieta-1875-toro-blitz-pack-6x50-pack-of-10/,new
Cigars,La Aurora 1903 Edition Corojo Robusto Blitz Pack (5×50 / Pack of 20),20,39.98,87.5,54.3,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/la-aurora-1903-edition-corojo-robusto-blitz-pack-5x50-pack-of-20/,new
Cigars,La Aurora 1903 Edition Maduro Robusto Blitz Pack (5×50 / Pack of 10),10,39.98,87.5,54.3,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/la-aurora-1903-edition-maduro-robusto-5x50-pack-of-10/,new
Drew Estate,Tabak Toro Dulce Blitz Pack (6×52 / Pack of 10),10,61.25,122.0,49.8,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/tabak-toro-dulce-blitz-pack-6x52-pack-of-10/,new
La Aurora,La Aurora Family Creed Series Fuerte Sol Toro Blitz Pack (5.75×54 / Pack of 20),20,69.98,185.0,62.2,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/la-aurora/la-aurora-family-creed-series-fuerte-sol-toro-5-75x54/,new
Drew Estate,Nica Rustica Adobe Toro Blitz Pack (6×52 / Pack of 10),10,42.98,84.0,48.8,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/nica-rustica-adobe-toro-blitz-pack-6x52-pack-of-10/,new
Drew Estate,Undercrown 10 Toro Blitz Pack (6×52 / Pack of 10),10,49.98,140.0,64.3,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/undercrown-10-toro-blitz-pack-6x52-pack-of-10/,new
Drew Estate,Drew Estate Chateau Real Connecticut Shade Gran Templar Blitz Pack (6×50 / Pack of 10),10,39.98,90.25,55.7,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/drew-estate-chateau-real-connecticut-shade-gran-templar-blitz-pack-6x50-pack-of-10/,new
Romeo y Julieta,Romeo Y Julieta Profundo Toro Blitz Pack (6×54 / Pack of 10),10,59.98,118.0,49.2,In stock,2026-09-17,https://www.hilandscigars.com/shop/cigars/romeo-y-julieta-profundo-toro-blitz-pack-6x54-pack-of-10/,new
