brand,name,pack_label,pack_qty,price,regular_price,sale_price,discount,discount_pct,on_sale,price_is_range,currency,sku,in_stock,purchasable,backorder,stock_qty,url
A.J. Fernandez,AJ Fernandez New World Dorado Toro (6&#215;54 / Box of 10) + Free Shipping!,,10,69.98,132.0,69.98,62.02,47.0,True,False,USD,AJFER-87121-10,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-new-world-dorado/aj-fernandez-new-world-dorado-gordito-6x54-box-of-10/
A.J. Fernandez,AJ Fernandez New World Connecticut Belicoso (6&#215;54 / Box of 20),,20,89.98,200.0,89.98,110.02,55.0,True,False,USD,AJFER-86351-20,True,True,False,,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-connecticut/a-j-fernandez-new-world-connecticut-belicoso-6x54-box-of-20-free-lighter-and-shipping/
A.J. Fernandez,AJ Fernandez New World Cameroon Churchill (7&#215;48 / Box of 20) + Free Shipping!,,20,79.98,156.0,79.98,76.02,48.7,True,False,USD,AJFER-79864-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-churchill-7x48-box-of-20/
A.J. Fernandez,AJ Fernandez New World Puro Especial Robusto (5.5&#215;52 / Box of 20) + Free Shipping!,,20,79.98,182.0,79.98,102.02,56.1,True,False,USD,AJFER-68674-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-puro-especial/new-a-j-fernandez-new-world-puro-especial-robusto-20/
A.J. Fernandez,New World By AJ Fernandez Maduro Robusto (5.5&#215;55 / Box of 21),,21,94.5,189.0,94.5,94.5,50.0,True,False,USD,AJFER-61022-21,True,True,False,,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world/new-world-by-aj-fernandez-maduro-robusto-21/
A.J. Fernandez,AJ Fernandez New World Cameroon Double Robusto (5.5&#215;54 / Box of 20) + Free Shipping!,,20,79.98,150.0,79.98,70.02,46.7,True,False,USD,AJFER-52765-20,True,True,False,,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-double-robusto-deal-20-best-price/
A.J. Fernandez,A.J. Fernandez Enclave Habano Robusto (5&#215;52 / Box of 20),,20,79.98,170.0,79.98,90.02,53.0,True,False,USD,AJ-BLUE ENCLAVE-BOX,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-enclave-toro/
A.J. Fernandez,AJ Fernandez New World Oscuro Toro (6.5&#215;55 / Box of 21),,21,99.98,206.0,99.98,106.02,51.5,True,False,USD,AJFER-9753-21,True,True,False,,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world/new-world-gobernador-toro/
Accessories,Boveda Humidity Control 69% 12 Pack 60 gram,,12,47.98,47.98,47.98,0,0,False,False,USD,286996,True,True,False,,https://www.hilandscigars.com/shop/accessories/humidification/boveda-humidity-control-69-12-pack-60-gram/
Accessories,Boveda Starter Kit for 50 Count Humidor,,50,16.98,16.98,16.98,0,0,False,False,USD,110134,True,True,False,In stock,https://www.hilandscigars.com/shop/accessories/boveda-humidor-starter-kit-50-count/
Accessories,Boveda Starter Kit for 100 Count Humidor,,100,24.0,24.0,24.0,0,0,False,False,USD,110127,True,True,False,In stock,https://www.hilandscigars.com/shop/accessories/boveda-humidor-starter-kit-100-count/
Accessories,Xikar 10 Count Travel Case &#8211; Red,,10,34.98,34.98,34.98,0,0,False,False,USD,22876,True,True,False,In stock,https://www.hilandscigars.com/shop/accessories/travel-cases/xikar-10-count-travel-case-red/
Accessories,Boveda Humidity Control 72% 12 Pack 60 gram,,12,47.98,47.98,47.98,0,0,False,False,USD,21507,True,True,False,,https://www.hilandscigars.com/shop/accessories/humidification/boveda-humidity-control-72-12-pack/
Accessories,Xikar Cigar Travel Humidor 60ct,,60,95.98,95.98,95.98,0,0,False,False,USD,6611,True,True,False,In stock,https://www.hilandscigars.com/shop/accessories/travel-cases/xikar-cigar-travel-humidor-50-80/
Accessories,Xikar Cigar Travel Humidor 20ct,,20,65.98,65.98,65.98,0,0,False,False,USD,6609,True,True,False,In stock,https://www.hilandscigars.com/shop/accessories/travel-cases/xikar-cigar-travel-humidor-18-24/
Accessories,Xikar Cigar Travel Humidor 40ct,,40,85.98,85.98,85.98,0,0,False,False,USD,6607,True,True,False,In stock,https://www.hilandscigars.com/shop/accessories/travel-cases/xikar-cigar-travel-humidor-40ct/
Accessories,Medico Pipe Filters (120ct Box),,120,18.98,24.98,18.98,6.0,24.0,True,False,USD,4907,True,True,False,,https://www.hilandscigars.com/shop/accessories/pipe-accessories/medidco-pipe-filters-box-of-120/
Accessories,Zippo Flints (Pack of 6 Flints),,6,2.99,2.99,2.99,0,0,False,False,USD,4903,True,True,False,,https://www.hilandscigars.com/shop/accessories/zippo/zippo-flints-pack-of-6-flints/
Accessories,Xikar 10 Count Travel Case,,10,36.98,36.98,36.98,0,0,False,False,USD,4083,True,True,False,In stock,https://www.hilandscigars.com/shop/accessories/travel-cases/10-count-travel-case/
Accessories,Xikar 15 Count Travel Case,,15,49.98,49.98,49.98,0,0,False,False,USD,4081,True,True,False,In stock,https://www.hilandscigars.com/shop/accessories/travel-cases/15-count-travel-case/
Acid by Drew Estate,Acid Krush Green Candela (4&#215;32 /Tin of 10),,10,17.98,17.98,17.98,0,0,False,False,USD,DREWE-88891-10,True,True,False,,https://www.hilandscigars.com/shop/cigars/drew-estate/acid-by-drew-estate/acid-krush-green-candela-4x32-tin-of-10/
Acid by Drew Estate,Acid Krush Red Cameroon  (4&#215;32 / Tin of 10),,10,17.98,21.98,17.98,4.0,18.2,True,False,USD,DREWE-6450-10,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/drew-estate/acid-by-drew-estate/acid-krush-red-cameroon-tin/
Acid by Drew Estate,Acid Krush Morado Maduro (4&#215;32 / Tin of 10),,10,17.98,21.98,17.98,4.0,18.2,True,False,USD,DREWE-6448-10,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/drew-estate/acid-by-drew-estate/acid-krush-morado-maduro-tin/
Acid by Drew Estate,Acid Krush Classic Blue Connecticut (4&#215;32 / Tin of 10),,10,17.98,21.98,17.98,4.0,18.2,True,False,USD,DREWE-6446-10,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/drew-estate/acid-by-drew-estate/acid-krush-classic-blue-connecticut-tin/
Acid by Drew Estate,ACID Kuba Kuba (5&#215;54 / Pack of 5),,5,49.98,69.98,49.98,20.0,28.6,True,False,USD,DREWE-5036-05,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/drew-estate/acid-by-drew-estate/acid-kuba-kuba-5-pack-with-free-ashtray/
Aganorsa Leaf,Aganorsa Leaf Connecticut Lovers Summertime Sampler (Size Varies / Pack of 20),,20,79.98,176.0,79.98,96.02,54.6,True,False,USD,AGANO-292502-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/agranorsa-leaf-connecticut-lovers-summertime-sampler-size-varies-pack-of-20/
Aging Room,Aging Room Quattro Nicaragua Concerto Cigar (6.5 x 52/Box of 10),,10,89.98,143.0,89.98,53.02,37.1,True,False,USD,AGING-240344-10-Blue,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/aging-room/aging-room-quattro-nicaragua/aging-room-quattro-nicaragua-concerto-cigar-6-5-x-52-box-of-10/
Aging Room,Aging Room Quattro Nicaragua Maestro (6&#215;52 / Pack of 5),,5,39.98,80.0,39.98,40.02,50.0,True,False,USD,AGING-74460-05,True,True,False,,https://www.hilandscigars.com/shop/cigars/aging-room/aging-room-quattro-nicaragua/aging-room-quattro-nicaragua-maestra-6x52-pack-5/
Alec Bradley,Alec Bradley Black Market Gran Tubo (6.5&#215;52/Box of 10),,10,69.98,124.9,69.98,54.92,44.0,True,False,USD,ALECB-285820-10,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/alec-bradley/alec-bradley-black-market-toro-tubo-6-5x52-box-of-10/
Alec Bradley,Alec Bradley 30 Years Toro Cigars (6&#215;54 / Box of 16),,16,97.98,175.84,97.98,77.86,44.3,True,False,USD,ALECB-278042-16,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/alec-bradley/alec-bradley-30-years/alec-bradley-30-years-toro-cigars-6x54-box-of-16/
