brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
Cigar Samplers,91+ Rated Octane Sampler (Mixed Sizes / Pack of 20),20,89.98,247.5,63.6,In stock,2026-08-20,https://www.hilandscigars.com/shop/cigars/91-rated-octane-sampler-mixed-sizes-pack-of-20/,new
Cigar Samplers,Champagne Dreams Sampler (Mixed Sizes / Pack of 15),15,69.98,170.0,58.8,In stock,2026-08-20,https://www.hilandscigars.com/shop/cigars/champagne-dreams-sampler-mixed-sizes-pack-of-15/,new
Cigar Samplers,Clash Packs: Nub Habano 460 vs. Tatuaje Sex Tooth William Blake (Pack of 10),10,52.78,110.0,52.0,,2026-08-20,https://www.hilandscigars.com/shop/cigars/clash-packs/clash-pack-nub-habanno-460-vs-tatuaje-sex-tooth-william-blake/,45.5% -> 52%
Cigar Samplers,Clash Packs: AJ Fernandez New World Robusto vs. Undercrown Maduro Toro (Pack of 10),10,52.78,110.0,52.0,,2026-08-20,https://www.hilandscigars.com/shop/cigars/clash-packs/clash-packs-aj-fernandez-new-world-robusto-vs-undercrown-maduro-toro/,45.5% -> 52%
Cigar Samplers,Clash Packs: Romeo Y Julieta Reserve Real Toro vs. Oliva Connecticut Reserve Churchill (Pack of 10),10,61.58,140.0,56.0,,2026-08-20,https://www.hilandscigars.com/shop/cigars/clash-packs/clash-packs-romeo-y-julieta-reserve-real-toro-vs-oliva-connecticut-reserve-churchill/,50% -> 56%
Oliva,Oliva Master Blends III Robusto Cigar (5×50 / Pack of 20),20,98.98,292.0,66.1,In stock,2026-08-20,https://www.hilandscigars.com/shop/cigars/oliva/oliva-master-blends-iii-robusto-5x50-pack-of-20-free-shipping/,new
