brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
Deadwood Tobacco by Drew Estate,Deadwood Dominicana Buenas Noches Gordo Cigar (6×60 / Box of 10) + Free Drew Estate Infused Sampler!,10,84.98,143.0,40.6,In stock,2026-09-13,https://www.hilandscigars.com/shop/cigars/deadwood-dominicana-buenas-noches-6x60/,new
Deadwood Tobacco by Drew Estate,Deadwood Dominicana Buenas Noches Robusto Cigar (5×54 / Box of 10) + Free Drew Estate Infused Sampler!,10,79.98,136.0,41.2,In stock,2026-09-13,https://www.hilandscigars.com/shop/cigars/deadwood-dominicana-buenas-noches-robusto/,new
E.P. Carrillo,E.P. Carrillo Pledge Prequel (5×50 / Bundle of 10) + Free Shipping!,10,79.98,134.0,40.3,In stock,2026-09-13,https://www.hilandscigars.com/shop/cigars/e-p-carrillo-pledge-prequel-5x50-bundle-of-10/,new
