brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
Oliva,Oliva Serie V Maduro Especial Torpedo (6 x 54 / Box of 10),10,85.98,161.96,46.9,In stock,2026-08-12,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-maduro-especial-torpedo-6-x-54-box-of-10/,50% -> 46.9%
Cosecha 149,Plasencia Reserva Original Toro (6 x 50/ Box of 10) + Free Shipping!,10,75.0,125.0,40.0,In stock,2026-08-12,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original-6-x-50-box-of-10/,new
Oliva Serie V Melanio Maduro,Oliva Serie V Melanio Robusto Natural (5×52 / Box of 10),10,88.98,172.96,48.6,,2026-08-12,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-melanio-maduro/oliva-serie-v-melanio-robusto-natural-5x52-pack-of-10-free-shipping/,new
Oliva Serie V Melanio Maduro,Oliva Serie V Melanio Robusto Maduro (5×52 / Box of 10),10,88.98,172.96,48.6,,2026-08-12,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-melanio-maduro/oliva-serie-v-melanio-robusto-maduro-5x52-pack-of-10-free-shipping/,new
Oliva,Oliva Serie V Maduro Especial Double Robusto (5×54 / Box of 10) + Free Shipping!,10,76.98,143.72,46.4,In stock,2026-08-12,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-maduro-especial-double-robusto/,new
Oliva,Oliva Serie V Maduro Especial Double Toro (6×60 / Box of 10),10,87.98,155.0,43.2,In stock,2026-08-12,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-maduro-especial-double-toro/,49.7% -> 43.2%
Oliva Serie V Melanio and Melanio Maduro,Oliva Serie V Melanio Maduro No.4 (4.5×46 / Box of 10) + Free Shipping,10,74.98,149.96,50.0,,2026-08-12,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-melanio/oliva-serie-v-melanio-maduro-4-10/,new
Oliva Serie V Melanio and Melanio Maduro,Oliva Serie V Melanio Robusto Maduro (5×52 / Box of 10),10,88.98,177.96,50.0,,2026-08-12,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-melanio/oliva-serie-v-melanio-robusto-maduro/,new
Oliva Serie O,Oliva Serie O Toro (6×50 / Box of 20),20,95.98,160.0,40.0,In stock,2026-08-12,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-o/oliva-serie-o-torpedo-2/,new
Oliva,Oliva Connecticut Reserve Toro (6×50 / Box of 20),20,99.98,202.24,50.6,In stock,2026-08-12,https://www.hilandscigars.com/shop/cigars/oliva/oliva-connecticut-reserve-toro/,new
