brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
A.J. Fernandez,H.upmann The Banker Toro Blitz Pack Draft (6×52 / Pack of 10),10,49.98,117.98,57.6,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/h-upmann-the-banker-toro-blitz-pack-draft-6x52-pack-of-10/,new
Blackened,Drew Estate Blackened Cigars M81 Toro Blitz Pack (6×52 / Pack of 10),10,49.98,112.5,55.6,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/drew-estate/drew-estate-blackened-cigars-m81-toro-blitz-pack-6x52-pack-of-10/,new
Drew Estate,Herrera Esteli Habano Toro Blitz Pack (6×52 / Pack of 10),10,39.98,152.5,73.8,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/herrera-esteli-habano-toro-blitz-pack-6x52-pack-of-10/,new
Drew Estate,Herrera Esteli Brazillian Maduro Toro Blitz Pack (6×52 / Pack of 10),10,39.98,152.5,73.8,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/herrera-esteli-brazillian-maduro-toro-blitz-pack-6x52-pack-of-10/,new
Drew Estate,Undercrown Shade Grown Toro Pack (6×50 / Pack of 10),10,39.98,137.5,70.9,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/undercrown-shade-grown-toro-pack-6x50-pack-of-10/,new
Deadwood Tobacco by Drew Estate,Fat Bottom Betty Toro Blitz Pack (6×50 / Pack of 10),10,49.98,126.5,60.5,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/fat-bottom-betty-toro-blitz-pack-6x50-pack-of-10/,new
Rocky Patel,Rocky Patel Sun Grown Maduro Toro Blitz Pack (6.5×52 / Pack of 10),10,49.98,115.0,56.5,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/rocky-patel-sun-grown-maduro-toro-blitz-pack-6-5x52-pack-of-10/,new
La Aurora,La Aurora Cameroon Robusto Blitz Pack (5×50 / Pack of 10),10,43.98,85.0,48.3,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/la-aarora-cameroon-robusto-blitz-pack-5x50-pack-of-10/,new
Drew Estate,Tabak Toro Dulce Blitz Pack (6×52 / Pack of 10),10,61.25,122.0,49.8,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/tabak-toro-dulce-blitz-pack-6x52-pack-of-10/,new
Drew Estate,Undercrown 10 Toro Blitz Pack (6×52 / Pack of 10),10,49.98,140.0,64.3,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/undercrown-10-toro-blitz-pack-6x52-pack-of-10/,new
Drew Estate,Drew Estate Chateau Real Connecticut Shade Gran Templar Blitz Pack (6×50 / Pack of 10),10,39.98,90.25,55.7,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/drew-estate-chateau-real-connecticut-shade-gran-templar-blitz-pack-6x50-pack-of-10/,new
Romeo y Julieta,Romeo Y Julieta Profundo Toro Blitz Pack (6×54 / Pack of 10),10,59.98,118.0,49.2,In stock,2026-09-24,https://www.hilandscigars.com/shop/cigars/romeo-y-julieta-profundo-toro-blitz-pack-6x54-pack-of-10/,new
