brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
La Gloria Cubana Intencion,La Gloria Cubana Intencion Gran Robusto Cigar (5×54 / Box of 20),20,66.98,119.98,44.2,In stock,2026-09-25,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-intencion/la-gloria-cubana-intencion-robusto-cigar-5x54-box-of-20/,new
La Gloria Cubana Intencion,La Gloria Cubana Intencion Toro Cigar (6×52 / Box of 20),20,78.98,139.8,43.5,In stock,2026-09-25,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-intencion/la-gloria-cubana-intencion-toro-cigar-6x52-box-of-20/,new
La Gloria Cubana Intencion,La Gloria Cubana Intencion Gigante Cigar (6×60 / Box of 20),20,88.98,159.98,44.4,In stock,2026-09-25,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-intencion/la-gloria-cubana-intencion-gignate-cigar-6x60-box-of-20/,new
La Gloria Cubana Serie R Esteli,La Gloria Cubana Serie R Esteli No. 60 Maduro (6×60 / Box of 18),18,99.98,192.0,47.9,In stock,2026-09-25,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-serie-r-esteli/la-gloria-cubana-esteli-serie-r-maduro-6x60-box-of-18/,new
Plasencia,Plasencia Cosecha 151 La Musica (5 x 50/ Box of 10) + Free Shipping!,10,87.0,145.2,40.1,In stock,2026-09-25,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-cosecha-151-la-musica-5-x-50-box-of-10/,new
Plasencia,Plasencia Reserva Original Robusto (4.75 x 52/Box of 10) + Free Shipping,10,65.4,109.0,40.0,In stock,2026-09-25,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original/plasencia-reserva-original-robusto-4-75-x-52-10/,new
