brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url
Cigar Samplers,Drew Estate Traditional Sampler ( Mixed Sizes / Bundle of 20),20,99.98,210.1,52.4,In stock,2026-08-13,https://www.hilandscigars.com/shop/cigars/drew-estate-traditional-sampler-6x50-54-mixed-bundle-of-20/
Cigar Samplers,The Bubba Nub Sampler (Mixed Sizes / Pack of 20),20,99.98,201.16,50.3,In stock,2026-08-30,https://www.hilandscigars.com/shop/cigars/oliva/the-bubba-nub-sampler-mixed-sizes-pack-of-20/
Cigar Samplers,Clash Packs: Romeo Y Julieta Reserve Real Toro vs. Oliva Connecticut Reserve Churchill (Pack of 10),10,61.58,140.0,56.0,In stock,2026-08-20,https://www.hilandscigars.com/shop/cigars/clash-packs/clash-packs-romeo-y-julieta-reserve-real-toro-vs-oliva-connecticut-reserve-churchill/
Montecristo,Montecristo Espada Oscuro Guard (6×50 / Box of 10),10,99.98,188.2,46.9,In stock,2026-07-25,https://www.hilandscigars.com/shop/cigars/montecristo-espada-oscuro-guard-6x50-box-of-10/
Gran Habano,Gran Habano Connecticut #1 (6×54 / Pack of 20) + Free Shipping!,20,87.98,176.0,50.0,In stock,2026-07-25,https://www.hilandscigars.com/shop/cigars/gran-habano/gran-habano-connecticut-1-gran-robusto-6x54-pack-of-20-free-shipping/
Gran Habano,Gran Habano #5 Corojo Cigar (6×54 / Pack of 20) + Free Shipping!,20,87.98,176.0,50.0,In stock,2026-07-25,https://www.hilandscigars.com/shop/cigars/gran-habano-5-corojo-cigar-6x54-pack-of-20-free-shipping/
Deadwood Tobacco by Drew Estate,Deadwood Dominicana Buenas Noches Gordo Cigar (6×60 / Box of 10) + Free Drew Estate Infused Sampler!,10,84.98,143.0,40.6,In stock,2026-09-13,https://www.hilandscigars.com/shop/cigars/deadwood-dominicana-buenas-noches-6x60/
Deadwood Tobacco by Drew Estate,Deadwood Dominicana Buenas Noches Robusto Cigar (5×54 / Box of 10) + Free Drew Estate Infused Sampler!,10,79.98,136.0,41.2,In stock,2026-09-13,https://www.hilandscigars.com/shop/cigars/deadwood-dominicana-buenas-noches-robusto/
Oliva,Oliva Dynamite Sampler (7×50 / Pack of 20),20,75.98,198.0,61.6,In stock,2026-09-03,https://www.hilandscigars.com/shop/cigars/oliva-dynamite-sampler-7x50-pack-of-20/
Oliva,Oliva Serie V Maduro Especial Torpedo (6 x 54 / Box of 10),10,85.98,161.96,46.9,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-maduro-especial-torpedo-6-x-54-box-of-10/
Perdomo,Perdomo Reserve 10th Anniversary Sun Grown Churchill (7×54 / Pack of 10) + Free Shipping!,10,67.98,133.0,48.9,,2026-07-25,https://www.hilandscigars.com/shop/cigars/perdomo/perdomo-reserve-10th-anniversary-sun-grown-churchill-7x54-pack-of-10-free-shipping/
Plasencia,Plasencia Cosecha 151 La Musica (5 x 50/ Box of 10) + Free Shipping!,10,87.0,145.2,40.1,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-cosecha-151-la-musica-5-x-50-box-of-10/
Plasencia,Plasencia Cosecha 151 San Diego (5.75 x 46/ Box of 10) + Free Shipping!,10,85.8,143.0,40.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-cosecha-151-san-diego-5-75-x-46-box-of-10/
Plasencia,Plasencia Reserva Original Cortez (5.75 x 56/ Box of 10) + Free Shipping,10,78.0,130.0,40.0,In stock,2026-08-25,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original-cortez-5-75-x-56-box-of-10/
Cigars,Football Kickoff Sampler (Assorted / Pack of 10),10,99.98,181.5,44.9,,2026-07-25,https://www.hilandscigars.com/shop/cigars/full-body-big-daddy-sampler-pack-pack-of-10-size-varies-free-shipping/
Cosecha 149,Plasencia Cosecha 149 La Vega Robusto (5×52 / Box of 10) + Free Shipping,10,97.02,161.7,40.0,In stock,2026-07-25,https://www.hilandscigars.com/shop/cigars/plasencia/cosecha-149/plasencia-cosecha-149-la-vega-robusto-5x52-box-of-10-free-shipping/
Montecristo White,Montecristo White Series Churchill (7×54 / Box of 10) + Free Shipping!,10,95.98,176.0,45.5,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/montecristo/montecristo-white/montecristo-white-series-churchill-7x54-pack-of-10-free-shipping/
Oliva,Oliva Serie V Melanio Robusto Natural (5×52 / Box of 10),10,88.98,172.96,48.6,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-robusto-natural-5x52-pack-of-10-free-shipping/
Oliva,Oliva Serie V Melanio Robusto Maduro (5×52 / Box of 10),10,88.98,172.96,48.6,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-robusto-maduro-5x52-pack-of-10-free-shipping/
E.P. Carrillo,E.P. Carrillo Pledge Prequel (5×50 / Bundle of 10) + Free Shipping!,10,79.98,134.0,40.3,In stock,2026-09-13,https://www.hilandscigars.com/shop/cigars/e-p-carrillo-pledge-prequel-5x50-bundle-of-10/
Oliva,Oliva Serie V Maduro Especial Double Robusto (5×54 / Box of 10) + Free Shipping!,10,76.98,143.72,46.4,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-maduro-especial-double-robusto/
Oliva,Oliva Serie V Maduro Especial Double Toro (6×60 / Box of 10),10,87.98,155.0,43.2,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-maduro-especial-double-toro/
Oliva,Oliva Serie V Melanio Maduro No.4 (4.5×46 / Box of 10) + Free Shipping,10,74.98,149.96,50.0,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-maduro-4-10/
Oliva,Oliva Serie V Melanio Robusto Maduro (5×52 / Box of 10),10,88.98,177.96,50.0,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-robusto-maduro/
Nub by Oliva,Nub Habano 460 (4×60 / 5 Pack),5,51.98,89.98,42.2,In stock,2026-07-25,https://www.hilandscigars.com/shop/cigars/oliva/nub-habano-466-5pack/
Oliva,Oliva Serie V Melanio Robusto (5×52 / Box of 10) + Free Shipping!,10,88.98,177.96,50.0,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-maduro-robusto/
Oliva,Oliva Serie V Melanio No. 4 (4.5×46 / Box of 10) + Free Shipping!,10,74.98,149.96,50.0,,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-v-melanio-gran-reserva-4/
Nub by Oliva,Nub Maduro 460 Tubo (4×60 / Box of 12),12,87.04,174.08,50.0,In stock,2026-07-25,https://www.hilandscigars.com/shop/cigars/oliva/nub-by-oliva/nub-maduro-460-tubo-12/
Nub by Oliva,Nub Habano 460 Tubo (4×60 / Box of 12),12,83.03,166.98,50.3,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/nub-cameroon-460-tubo-box-of-12-3/
Oliva,Oliva Connecticut Reserve Double Toro (6×60 / Box of 10),10,74.98,149.96,50.0,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/oliva/oliva-connecticut-reserve-double-toro/
Nub by Oliva,Nub Cameroon 460 Tubo (4×60 / Box of 12) + Free Shipping!,12,75.8,151.0,49.8,In stock,2026-08-13,https://www.hilandscigars.com/shop/cigars/oliva/nub-cameroon-460-tubo-12/
Oliva,Oliva Serie O Churchill (7×50 / Box of 20),20,87.93,218.0,59.7,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/oliva-serie-o-churchill/
Punch Clasico,Punch Elites EMS (5.25×45 / Box of 25),25,99.98,173.5,42.4,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/punch/punch-clasico/punch-elites-ems/
Punch Clasico,Punch London Club EMS (5×40 / Box of 25),25,89.98,160.0,43.8,In stock,2026-08-13,https://www.hilandscigars.com/shop/cigars/punch/punch-clasico/punch-london-club-ems/
Punch Clasico,Punch Elites Maduro (5.25×45 / Box of 25),25,99.98,173.0,42.2,In stock,2026-08-19,https://www.hilandscigars.com/shop/cigars/punch/punch-clasico/punch-elites-maduro/
