brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
AJ Fernandez New World Dorado,AJ Fernandez New World Dorado Gordito (5.5 x 60 / Box of 10) + Free Shipping!,10,49.98,140.0,64.3,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-new-world-dorado/aj-fernandez-new-world-dorado-gordito-5-5-x-60-box-of-10-free-shipping/,new
A.J. Fernandez New World Cameroon,AJ Fernandez New World Cameroon Double Robusto (5.5×54 / Box of 20) + Free Shipping!,20,79.98,150.0,46.7,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-double-robusto-deal-20-best-price/,new
Cosecha 149,Plasencia Cosecha 151 La Musica (5 x 50/ Box of 10) + Free Shipping!,10,87.0,145.2,40.1,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-cosecha-151-la-musica-5-x-50-box-of-10/,new
Cosecha 149,Plasencia Cosecha 151 San Diego (5.75 x 46/ Box of 10) + Free Shipping!,10,85.8,143.0,40.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-cosecha-151-san-diego-5-75-x-46-box-of-10/,new
E.P. Carrillo Core Line,E.P. Carrillo Encore Majestic (5.37×52 / Pack of 10) + Free Shipping!,10,74.98,131.0,42.8,,2026-08-10,https://www.hilandscigars.com/shop/cigars/e-p-carrillo/e-p-carrillo-core-line/e-p-carrillo-encore-majestic-5-37x52-pack-of-10-free-shipping/,new
E.P. Carrillo The Pledge,E.P. Carrillo Pledge Prequel (5×50 / Bundle of 10) + Free Shipping!,10,79.98,134.0,40.3,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/e-p-carrillo/e-p-carrillo-the-pledge/e-p-carrillo-pledge-prequel-5x50-bundle-of-10/,new
Plasencia,Plasencia Reserva Original Robusto (4.75 x 52/Box of 10) + Free Shipping,10,65.4,109.0,40.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original/plasencia-reserva-original-robusto-4-75-x-52-10/,new
Oliva Serie V,Oliva Serie V Melanio Robusto (5×52 / Box of 10) + Free Shipping!,10,75.98,151.96,50.0,,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v/oliva-serie-v-melanio-maduro-robusto/,new
Oliva Serie V,Oliva Serie V Melanio No. 4 (4.5×46 / Box of 10) + Free Shipping!,10,64.98,129.96,50.0,,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v/oliva-serie-v-melanio-gran-reserva-4/,new
Punch Clasico,Punch Elites EMS (5.25×45 / Box of 25),25,99.98,173.5,42.4,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/punch/punch-clasico/punch-elites-ems/,45% -> 42.4%
Punch Clasico,Punch Elites Maduro (5.25×45 / Box of 25),25,99.98,173.0,42.2,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/punch/punch-clasico/punch-elites-maduro/,44.8% -> 42.2%
