brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
A.J. Fernandez,AJ Fernandez New World Puro Especial Robusto (5.5×52 / Box of 20) + Free Shipping!,20,89.98,182.0,50.6,In stock,2026-09-16,https://www.hilandscigars.com/shop/cigars/new-a-j-fernandez-new-world-puro-especial-robusto-20/,new
Cain by Oliva,Cain 550 Maduro (5.75×50 / Box of 24),24,98.98,208.0,52.4,In stock,2026-09-16,https://www.hilandscigars.com/shop/cigars/cain-550-robusto-maduro/,new
La Gloria Cubana,La Gloria Cubana Wavell Maduro (5 x 50/Box of 25),25,99.0,238.0,58.4,In stock,2026-09-16,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-la-gloria-cubana/la-gloria-cubana-wavell-maduro-5-x-50-box-of-25/,new
Plasencia,Plasencia Reserva Original Corona Corta (3.87×48 / Box of 20),20,95.88,159.8,40.0,In stock,2026-09-16,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original/plasencia-reserva-original-corona-corta-3-87x48-box-of-20/,new
Plasencia,Plasencia Reserva Original Toro (6 x 50/ Box of 10) + Free Shipping!,10,75.0,125.0,40.0,In stock,2026-09-16,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original-6-x-50-box-of-10/,new
Plasencia,Plasencia Reserva Original Robusto (4.75 x 52/Box of 10) + Free Shipping,10,65.4,109.0,40.0,In stock,2026-09-16,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original/plasencia-reserva-original-robusto-4-75-x-52-10/,new
