brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Robusto (5×52 / Box of 20),20,84.98,180.0,52.8,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-maduro-robusto-5x52-box-of-20/,55.6% -> 52.8%
AJ Fernandez New World Dorado,AJ Fernandez New World Dorado Gordito (5.5 x 60 / Box of 10) + Free Shipping!,10,59.98,140.0,57.2,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-new-world-dorado/aj-fernandez-new-world-dorado-gordito-5-5-x-60-box-of-10-free-shipping/,64.3% -> 57.2%
A.J. Fernandez New World Connecticut,AJ Fernandez New World Connecticut Belicoso (6×54 / Box of 20),20,94.98,200.0,52.5,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-connecticut/a-j-fernandez-new-world-connecticut-belicoso-6x54-box-of-20-free-lighter-and-shipping/,55% -> 52.5%
A.J. Fernandez New World Cameroon,AJ Fernandez New World Cameroon Churchill (7×48 / Box of 20) + Free Shipping!,20,84.98,156.0,45.5,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-churchill-7x48-box-of-20/,48.7% -> 45.5%
A.J. Fernandez New World Puro Especial,AJ Fernandez New World Puro Especial Robusto (5.5×52 / Box of 20) + Free Shipping!,20,64.98,182.0,64.3,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-puro-especial/new-a-j-fernandez-new-world-puro-especial-robusto-20/,56.1% -> 64.3%
A.J. Fernandez New World Cameroon,AJ Fernandez New World Cameroon Double Robusto (5.5×54 / Box of 20) + Free Shipping!,20,84.98,150.0,43.3,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-double-robusto-deal-20-best-price/,46.7% -> 43.3%
A.J. Fernandez,A.J. Fernandez Enclave Habano Robusto (5×52 / Box of 20),20,84.98,170.0,50.0,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-enclave-toro/,53% -> 50%
Avo,Avo Syncro South American Ritmo Toro Tubo (6×54 / Bundle of 9),9,78.98,143.1,44.8,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/avo-syncro-south-american-ritmo-toro-tubo-6x54-bundle-of-9/,new
Avo,Avo Syncro South America Ritmo Robusto (5×50 / Bundle of 9),9,72.98,132.3,44.8,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/avo-syncro-south-america-ritmo-robusto-5x50-bundle-of-9/,new
Avo,Avo Syncro Nicaragua Toro (6×54 / Bundle of 9),9,72.98,132.0,44.7,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/avo-syncro-nicaragua-toro-6x54-bundle-of-9/,new
Cain by Oliva,Cain Daytona 550 Robusto (5×50 / Box of 24),24,94.98,200.0,52.5,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/oliva/cain-daytona-550-robusto/,56.5% -> 52.5%
Cain by Oliva,Cain Daytona 646 Corona (6×46 / Box of 24),24,90.98,191.0,52.4,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/oliva/cain-daytona-646-corona/,56.6% -> 52.4%
Cain by Oliva,Cain 550 Habano (5.75×50 / Box of 24),24,91.98,200.0,54.0,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/oliva/cain-550-robusto-habano/,56.5% -> 54%
Cain by Oliva,Cain 550 Maduro (5.75×50 / Box of 24),24,98.98,208.0,52.4,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/oliva/cain-550-robusto-maduro/,new
Cigar Clearance,Camacho Nicaragua Robusto (5×52 / Box of 20),20,99.0,196.98,49.7,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/camacho-nicaragua-robusto-5x52-box-of-20/,new
La Gloria Cubana Intencion,La Gloria Cubana Intencion Gran Robusto Cigar (5×54 / Box of 20),20,66.98,119.98,44.2,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-intencion/la-gloria-cubana-intencion-robusto-cigar-5x54-box-of-20/,new
La Gloria Cubana Intencion,La Gloria Cubana Intencion Toro Cigar (6×52 / Box of 20),20,78.98,139.8,43.5,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-intencion/la-gloria-cubana-intencion-toro-cigar-6x52-box-of-20/,new
Oliva,Oliva Connecticut Reserve Double Toro (6×60 / Box of 10),10,74.98,149.96,50.0,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/oliva/oliva-connecticut-reserve-double-toro/,new
