brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
Aging Room,Aging Room Quattro Nicaragua Maestro (6×52 / Box of 10),10,79.98,140.0,42.9,In stock,2026-08-30,https://www.hilandscigars.com/shop/cigars/aging-room/aging-room-quattro-nicaragua-maestra-10/,new
Alec Bradley,Alec Bradley Black Market Gran Tubo (6.5×52/Box of 10),10,69.98,124.9,44.0,In stock,2026-08-30,https://www.hilandscigars.com/shop/cigars/alec-bradley-black-market-toro-tubo-6-5x52-box-of-10/,new
Alec Bradley,Alec Bradley 30 Years Toro Cigars (6×54 / Box of 16),16,97.98,175.84,44.3,In stock,2026-08-30,https://www.hilandscigars.com/shop/cigars/alec-bradley-30-years-toro-cigars-6x54-box-of-16/,new
Cigar Samplers,The Bubba Nub Sampler (Mixed Sizes / Pack of 20),20,99.98,201.16,50.3,In stock,2026-08-30,https://www.hilandscigars.com/shop/cigars/oliva/the-bubba-nub-sampler-mixed-sizes-pack-of-20/,new
Cosecha 149,Plasencia Reserva Original Toro (6 x 50/ Box of 10) + Free Shipping!,10,75.0,125.0,40.0,In stock,2026-08-30,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original-6-x-50-box-of-10/,new
